Transaction_ID,Date,Item_ID,Outlet_ID,Customer_ID,Quantity,Sales,Rating
TXN0001288,12-07-2023,ITM0377,OUT022,CUS01062,15,3292.69,3.4
TXN0007067,11-01-2020,ITM0015,OUT006,CUS00925,20,1762.84,3.3
TXN0005863,23-07-2019,ITM0169,OUT018,CUS01656,17,1018.54,2.4
TXN0006469,20-06-2022,ITM0205,OUT049,CUS01042,14,3331.77,
TXN0002000,16-06-2021,ITM0410,OUT016,CUS01770,15,429.15,
TXN0009927,23-04-2018,ITM0173,OUT038,CUS01332,5,813.36,4.6
TXN0008185,24-11-2020,ITM0057,OUT018,CUS01734,3,1202.44,3.9
TXN0004262,26-01-2023,ITM0074,OUT014,CUS01540,1,4071.84,3.1
TXN0006331,,ITM0239,OUT044,CUS00527,6,412.01,2.1
TXN0007482,10-10-2018,ITM0487,OUT036,CUS01880,4,1637.71,4.9
TXN0003749,26-05-2018,ITM0407,OUT038,CUS01055,7,2947.51,3.7
TXN0009327,02-12-2019,ITM0298,OUT031,CUS01881,12,3666.45,4.9
TXN0003722,19-12-2020,ITM0053,OUT004,CUS01677,3,2881.13,1.8
TXN0004358,27-09-2023,ITM0386,OUT048,CUS01720,8,3345.74,4.2
TXN0002072,02-04-2023,ITM0369,OUT024,CUS00251,7,412.30,3.7
TXN0000696,24-05-2022,ITM0269,OUT031,CUS00010,17,4151.05,4.4
TXN0001224,14-08-2022,ITM0329,OUT020,CUS01250,5,2665.95,3.0
TXN0001986,19-01-2023,ITM0497,OUT039,CUS00047,8,4933.19,3.5
TXN0007562,26-07-2020,ITM0361,OUT008,CUS00464,10,917.38,3.8
TXN0009267,06-04-2018,ITM0335,OUT026,CUS00955,6,2500.80,3.5
TXN0008247,04-05-2023,ITM0162,OUT034,CUS01057,,1840.94,3.5
TXN0000625,20-08-2023,ITM0053,OUT032,CUS01350,18,4258.77,2.9
TXN0003732,09-05-2019,ITM0461,OUT028,CUS00882,16,2117.13,
TXN0002647,03-02-2022,ITM0263,OUT026,CUS01441,19,3091.79,4.1
TXN0002321,06-09-2021,ITM0465,OUT009,CUS00094,9,276.74,1.1
TXN0008961,21-01-2020,ITM0187,OUT035,CUS00641,11,2590.89,
TXN0009291,09-02-2020,ITM0164,OUT016,CUS01230,19,2187.57,1.8
TXN0000587,31-01-2022,ITM0080,OUT025,CUS00828,5,3893.70,1.7
TXN0007454,28-08-2020,ITM0215,OUT008,CUS00835,15,4878.01,1.4
TXN0005167,20-07-2022,ITM0190,OUT016,CUS00963,20,276.12,4.6
TXN0005651,30-05-2021,ITM0310,OUT040,CUS00733,18,3735.96,2.1
TXN0006676,23-11-2019,ITM0446,OUT019,CUS01657,8,2011.40,2.7
TXN0007364,16-03-2020,ITM0373,OUT028,CUS00300,7,373.95,4.6
TXN0003066,03-09-2020,ITM0335,OUT006,CUS01025,2,706.47,4.5
TXN0002365,18-12-2022,ITM0309,OUT001,CUS01707,19,4898.44,3.0
TXN0006299,23-05-2020,ITM0492,OUT017,CUS00528,7,2931.27,4.1
TXN0010138,07-10-2020,ITM0286,OUT028,CUS01253,18,,1.9
TXN0009661,12-02-2018,ITM0286,OUT012,CUS00191,12,1154.43,
TXN0001122,24-09-2022,ITM0484,OUT046,CUS00097,8,1380.19,3.4
TXN0005374,14-09-2023,ITM0310,OUT043,CUS01500,1,2623.41,1.5
TXN0007838,27-09-2020,ITM0297,OUT025,CUS01579,5,3676.63,2.9
TXN0001827,07-01-2023,ITM0427,OUT050,CUS00686,18,3402.43,3.9
TXN0000186,22-11-2022,ITM0314,OUT017,CUS01090,7,4045.23,
TXN0007457,20-07-2023,ITM0168,OUT008,CUS01114,17,4655.02,4.8
TXN0007414,25-02-2019,ITM0009,OUT050,CUS01775,20,2047.06,1.8
TXN0001404,23-11-2023,ITM0069,OUT005,CUS00532,3,4267.63,4.1
TXN0005077,09-05-2023,ITM0395,OUT044,CUS00477,17,3692.55,3.8
TXN0001896,25-07-2023,ITM0466,OUT050,CUS00518,15,479.30,4.8
TXN0005293,05-09-2019,ITM0480,OUT028,CUS00457,11,1470.89,2.3
TXN0004883,15-08-2021,ITM0119,OUT046,CUS01326,10,4434.94,1.7
TXN0003113,13-07-2023,ITM0484,OUT009,CUS01028,19,1615.66,1.5
TXN0009292,,ITM0080,OUT009,CUS01131,1,2527.29,1.2
TXN0002879,02-08-2019,ITM0435,OUT014,CUS01228,18,,4.9
TXN0004218,20-03-2019,ITM0222,OUT007,CUS00447,3,881.57,3.9
TXN0006861,28-09-2019,ITM0391,OUT027,CUS00536,3,3776.15,2.2
TXN0003649,12-01-2023,ITM0485,OUT033,CUS01554,18,3405.49,4.5
TXN0007710,22-12-2019,ITM0049,OUT048,CUS00987,6,1865.55,2.2
TXN0007819,27-07-2020,ITM0329,OUT030,CUS01777,19,2265.69,3.8
TXN0001216,,ITM0121,OUT033,CUS00926,,2034.44,1.4
TXN0010203,26-06-2022,ITM0228,OUT036,CUS00655,10,4670.69,3.8
TXN0010336,31-03-2020,ITM0148,OUT037,CUS01350,9,4168.52,4.2
TXN0008109,10-04-2019,ITM0072,OUT046,CUS00217,15,3760.29,2.4
TXN0010353,11-12-2019,ITM0310,OUT007,CUS00363,8,1301.08,3.3
TXN0002480,01-02-2019,ITM0267,OUT035,CUS01652,12,4065.58,1.1
TXN0009414,,ITM0003,OUT039,CUS00163,20,2834.77,
TXN0005931,28-08-2018,ITM0010,OUT001,CUS00203,12,1070.24,3.2
TXN0003256,18-04-2021,ITM0376,OUT036,CUS01050,,,5.0
TXN0010265,,ITM0273,OUT002,CUS01766,20,74.72,2.9
TXN0005447,21-08-2019,ITM0045,OUT040,CUS01218,17,2204.04,1.5
TXN0004997,03-02-2023,ITM0121,OUT016,CUS00181,6,197.56,2.5
TXN0007126,27-07-2023,ITM0384,OUT006,CUS00812,17,985.95,1.9
TXN0006472,15-08-2018,ITM0140,OUT011,CUS01130,9,1176.43,1.8
TXN0003350,17-11-2020,ITM0254,OUT045,CUS00996,14,1549.12,1.3
TXN0007076,22-01-2018,ITM0483,OUT011,CUS00797,6,147.76,3.3
TXN0007397,02-07-2019,ITM0354,OUT019,CUS01222,6,1206.82,2.6
TXN0008526,15-04-2018,ITM0210,OUT038,CUS00134,11,483.23,2.2
TXN0005647,22-10-2018,ITM0486,OUT024,CUS00851,14,4984.07,1.0
TXN0002585,30-11-2022,ITM0227,OUT042,CUS00114,10,2989.89,3.4
TXN0006997,19-12-2020,ITM0293,OUT024,CUS01774,6,3109.19,2.3
TXN0000056,18-09-2020,ITM0020,OUT048,CUS00880,15,1693.60,2.6
TXN0004491,11-06-2018,ITM0431,OUT020,CUS00967,5,1914.50,1.3
TXN0004610,04-08-2020,ITM0429,OUT020,CUS00060,4,4860.52,2.2
TXN0005901,09-10-2021,ITM0190,OUT023,CUS00101,2,2058.27,4.5
TXN0004397,07-02-2018,ITM0329,OUT048,CUS00140,18,1253.55,4.3
TXN0003239,02-03-2023,ITM0362,OUT049,CUS00805,6,4846.23,2.6
TXN0002224,02-11-2019,ITM0401,OUT025,CUS00584,13,4008.75,2.7
TXN0007117,,ITM0429,OUT012,CUS01689,10,4260.07,2.3
TXN0009837,23-11-2018,ITM0415,OUT027,CUS00160,18,4976.15,2.7
TXN0004009,26-11-2021,ITM0405,OUT035,CUS01206,2,340.97,1.6
TXN0004486,05-12-2022,ITM0444,OUT044,CUS01556,8,,2.8
TXN0010011,15-09-2020,ITM0248,OUT016,CUS00403,8,4750.40,1.6
TXN0006431,08-02-2019,ITM0428,OUT021,CUS01637,14,1331.99,1.5
TXN0004443,16-03-2018,ITM0036,OUT039,CUS00462,15,4236.31,4.8
TXN0007018,02-06-2020,ITM0203,OUT016,CUS01505,15,2201.86,4.6
TXN0006286,08-12-2020,ITM0438,OUT031,CUS01947,2,2830.19,4.5
TXN0000251,14-08-2022,ITM0311,OUT041,CUS01977,1,,3.8
TXN0000046,02-11-2021,ITM0091,OUT033,CUS00334,18,2055.94,4.3
TXN0008013,24-02-2019,ITM0450,OUT041,CUS00458,17,2752.44,1.8
TXN0009966,02-09-2020,ITM0193,OUT037,CUS00762,15,629.98,1.4
TXN0008997,19-01-2020,ITM0345,OUT014,CUS00897,17,1550.82,3.8
TXN0007936,11-11-2021,ITM0443,OUT045,CUS00977,13,2168.26,1.3
TXN0010104,20-07-2019,ITM0405,OUT047,CUS00054,5,329.52,3.9
TXN0003234,11-12-2021,ITM0429,OUT014,CUS00905,6,1619.63,4.6
TXN0001382,17-11-2019,ITM0427,OUT037,CUS01913,15,754.99,2.5
TXN0004907,28-09-2018,ITM0355,OUT002,CUS01789,7,2954.04,1.4
TXN0007395,26-03-2018,ITM0299,OUT006,CUS00873,18,3984.47,2.4
TXN0009975,05-04-2021,ITM0292,OUT034,CUS01396,13,1615.77,2.1
TXN0010309,,ITM0375,OUT011,CUS00779,20,2975.22,2.1
TXN0000478,01-01-2022,ITM0145,OUT037,CUS00918,9,3175.12,4.2
TXN0003935,23-01-2019,ITM0316,OUT020,CUS01647,9,4402.96,1.6
TXN0007233,18-02-2019,ITM0420,OUT008,CUS00525,9,695.07,5.0
TXN0005691,17-10-2020,ITM0040,OUT028,CUS00422,8,4613.69,4.4
TXN0000392,02-05-2023,ITM0260,OUT028,CUS00674,7,4557.01,1.1
TXN0008959,02-03-2021,ITM0403,OUT006,CUS00129,8,3087.19,3.9
TXN0005381,,ITM0054,OUT039,CUS00685,20,637.21,
TXN0002016,07-02-2020,ITM0422,OUT019,CUS00403,,3891.56,1.7
TXN0003105,03-08-2021,ITM0256,OUT050,CUS00694,15,4851.01,
TXN0009240,03-12-2019,ITM0242,OUT041,CUS00610,6,2414.13,2.9
TXN0005243,14-01-2021,ITM0293,OUT028,CUS01128,8,2734.81,3.8
TXN0003109,19-06-2023,ITM0424,OUT037,CUS00997,3,3308.91,2.6
TXN0002164,13-08-2023,ITM0493,OUT019,CUS00632,3,4221.01,2.7
TXN0007851,15-10-2018,ITM0080,OUT001,CUS00188,,1313.73,1.7
TXN0007037,08-07-2018,ITM0380,OUT047,CUS00981,3,4761.15,4.6
TXN0006111,11-10-2023,ITM0489,OUT029,CUS00776,13,4188.79,2.5
TXN0006510,11-05-2019,ITM0050,OUT044,CUS00649,3,1256.92,2.9
TXN0001168,05-01-2023,ITM0120,OUT021,CUS01381,4,1031.42,2.1
TXN0005521,18-03-2021,ITM0425,OUT010,CUS01114,6,2609.34,3.8
TXN0002391,29-03-2022,ITM0482,OUT025,CUS01796,18,1727.67,1.6
TXN0001104,19-06-2019,ITM0414,OUT042,CUS01466,16,2253.06,1.9
TXN0001232,24-06-2020,ITM0310,OUT007,CUS01733,1,583.96,2.7
TXN0003836,21-09-2021,ITM0206,OUT023,CUS01840,17,388.54,2.4
TXN0006622,,ITM0219,OUT041,CUS00202,5,3222.78,1.5
TXN0004466,25-04-2022,ITM0015,OUT047,CUS00737,16,710.03,2.0
TXN0001434,23-07-2021,ITM0311,OUT014,CUS00489,4,4740.47,4.6
TXN0000863,07-11-2022,ITM0057,OUT048,CUS01635,12,3506.64,3.7
TXN0002905,23-03-2019,ITM0135,OUT024,CUS00333,8,3916.11,4.6
TXN0006920,15-07-2023,ITM0072,OUT015,CUS00208,14,1984.59,1.3
TXN0003248,30-06-2020,ITM0045,OUT018,CUS01055,6,2330.40,2.7
TXN0008307,26-06-2021,ITM0119,OUT001,CUS01496,13,366.73,1.6
TXN0009677,18-10-2018,ITM0339,OUT046,CUS00207,19,4452.46,3.4
TXN0007783,,ITM0069,OUT044,CUS01994,19,52.50,3.9
TXN0010172,11-06-2019,ITM0299,OUT013,CUS01361,11,3321.79,4.3
TXN0001711,21-10-2022,ITM0438,OUT014,CUS01593,18,267.59,4.6
TXN0010174,25-01-2019,ITM0388,OUT031,CUS01891,16,697.97,3.6
TXN0001631,04-07-2020,ITM0080,OUT022,CUS00156,6,2434.35,4.2
TXN0009398,10-10-2021,ITM0500,OUT020,CUS01659,14,1709.80,4.6
TXN0001548,25-12-2018,ITM0091,OUT003,CUS01707,13,4745.19,1.4
TXN0007856,19-08-2018,ITM0214,OUT015,CUS01656,12,1624.54,4.1
TXN0005118,19-06-2019,ITM0089,OUT032,CUS00273,1,1163.00,1.1
TXN0006686,26-07-2023,ITM0476,OUT023,CUS01968,20,3151.39,
TXN0002849,14-03-2020,ITM0062,OUT023,CUS01518,7,1683.00,5.0
TXN0009472,22-04-2022,ITM0422,OUT011,CUS01267,17,2409.23,4.7
TXN0003162,30-10-2020,ITM0041,OUT011,CUS00698,9,802.00,3.2
TXN0006257,29-01-2020,ITM0380,OUT012,CUS01202,19,1290.45,4.0
TXN0002890,20-06-2021,ITM0229,OUT026,CUS01156,20,1405.40,3.3
TXN0000228,12-04-2022,ITM0478,OUT005,CUS00636,8,2487.85,4.7
TXN0000324,29-09-2019,ITM0283,OUT022,CUS00658,4,2458.01,4.4
TXN0006822,27-11-2022,ITM0357,OUT011,CUS00350,9,799.08,4.1
TXN0009191,30-05-2020,ITM0461,OUT017,CUS01070,5,3173.76,3.0
TXN0010074,27-04-2022,ITM0468,OUT032,CUS01993,15,4931.27,1.0
TXN0000249,03-06-2018,ITM0215,OUT014,CUS00865,5,952.66,
TXN0007752,10-11-2022,ITM0247,OUT028,CUS01666,19,4129.69,1.8
TXN0008939,27-11-2020,ITM0231,OUT043,CUS01539,15,598.16,3.6
TXN0004235,03-10-2023,ITM0339,OUT029,CUS01911,13,3256.23,3.1
TXN0002629,24-01-2021,ITM0407,OUT038,CUS01724,16,748.09,1.5
TXN0003082,21-11-2019,ITM0240,OUT002,CUS01358,14,,1.4
TXN0010191,07-10-2023,ITM0284,OUT013,CUS00110,19,4966.54,1.8
TXN0002268,18-03-2022,ITM0237,OUT001,CUS01775,16,1600.93,4.1
TXN0003742,13-01-2022,ITM0238,OUT024,CUS01987,9,1004.41,1.5
TXN0000183,02-03-2019,ITM0385,OUT009,CUS01715,,3820.24,3.1
TXN0003658,29-09-2020,ITM0406,OUT013,CUS01346,16,925.15,1.5
TXN0003474,17-11-2019,ITM0010,OUT001,CUS00922,15,232.48,3.4
TXN0010085,31-10-2020,ITM0073,OUT034,CUS00749,19,725.94,1.7
TXN0000603,24-01-2021,ITM0215,OUT043,CUS01148,3,1862.56,1.6
TXN0009679,13-12-2021,ITM0454,OUT010,CUS01654,19,1276.17,4.7
TXN0006613,19-10-2019,ITM0414,OUT024,CUS00219,20,3717.39,1.2
TXN0007452,28-06-2023,ITM0157,OUT013,CUS00510,16,2638.75,1.1
TXN0008460,26-06-2018,ITM0485,OUT037,CUS01384,13,840.94,3.9
TXN0009512,21-03-2021,ITM0063,OUT031,CUS00656,2,1101.39,4.9
TXN0004365,15-12-2022,ITM0055,OUT021,CUS00685,14,,4.9
TXN0007249,08-08-2021,ITM0495,OUT025,CUS01377,8,277.01,2.5
TXN0001607,08-06-2020,ITM0465,OUT042,CUS01932,10,982.84,2.5
TXN0000201,22-01-2021,ITM0312,OUT002,CUS00912,9,3359.10,4.0
TXN0002791,,ITM0481,OUT039,CUS01141,3,4103.16,4.5
TXN0008741,,ITM0299,OUT038,CUS00498,16,,4.2
TXN0005797,29-11-2020,ITM0334,OUT021,CUS00160,14,795.12,1.5
TXN0002410,02-12-2019,ITM0117,OUT023,CUS01750,4,1660.56,1.4
TXN0008280,20-11-2018,ITM0381,OUT009,CUS00010,18,2762.10,4.2
TXN0003933,20-08-2019,ITM0222,OUT050,CUS00754,5,,1.8
TXN0008152,23-07-2020,ITM0380,OUT015,CUS01538,8,407.80,4.7
TXN0005432,09-08-2019,ITM0068,OUT002,CUS01351,15,4458.15,
TXN0003475,22-09-2022,ITM0476,OUT029,CUS01649,8,3159.85,4.2
TXN0000221,11-12-2018,ITM0133,OUT029,CUS00931,10,,3.5
TXN0005971,19-05-2022,ITM0274,OUT050,CUS01625,2,1383.15,2.1
TXN0002755,25-08-2018,ITM0131,OUT038,CUS01014,17,3658.78,1.7
TXN0006001,15-11-2022,ITM0485,OUT045,CUS01742,1,2472.26,1.3
TXN0008870,13-08-2023,ITM0351,OUT002,CUS00646,20,1033.97,3.4
TXN0004246,31-03-2019,ITM0396,OUT040,CUS01640,15,4992.92,4.7
TXN0006026,29-12-2023,ITM0388,OUT042,CUS00537,20,1842.80,1.7
TXN0005989,12-10-2022,ITM0378,OUT037,CUS01788,18,4350.12,1.8
TXN0001164,29-11-2020,ITM0097,OUT048,CUS01969,16,4282.10,4.3
TXN0004885,21-09-2022,ITM0179,OUT036,CUS01658,17,1523.88,3.7
TXN0004115,31-03-2022,ITM0337,OUT024,CUS01984,11,1073.80,4.6
TXN0004087,16-12-2022,ITM0496,OUT044,CUS01591,4,3298.12,1.7
TXN0000077,22-01-2023,ITM0086,OUT026,CUS00096,8,1623.16,3.4
TXN0008389,13-04-2021,ITM0145,OUT043,CUS00337,12,431.73,
TXN0004819,01-05-2023,ITM0155,OUT001,CUS01292,8,2046.95,3.2
TXN0005421,05-09-2020,ITM0144,OUT040,CUS01254,17,3686.39,1.5
TXN0008466,07-12-2018,ITM0049,OUT025,CUS01171,15,3357.06,3.1
TXN0004810,15-05-2023,ITM0030,OUT039,CUS01444,4,2637.93,3.7
TXN0001746,25-03-2022,ITM0408,OUT031,CUS00540,4,4728.69,3.9
TXN0006338,27-03-2018,ITM0232,OUT028,CUS01834,5,2805.19,4.0
TXN0010109,03-05-2018,ITM0173,OUT005,CUS00780,2,4021.56,3.6
TXN0009260,05-09-2023,ITM0038,OUT024,CUS00141,10,1483.27,2.7
TXN0006173,14-02-2020,ITM0268,OUT019,CUS00951,7,2779.47,3.6
TXN0002372,04-10-2022,ITM0201,OUT011,CUS00232,12,2859.81,3.8
TXN0006134,26-10-2018,ITM0411,OUT029,CUS01763,19,4252.23,2.5
TXN0008588,04-08-2019,ITM0002,OUT011,CUS00013,4,,3.5
TXN0001721,15-02-2019,ITM0379,OUT024,CUS00123,17,2138.90,3.6
TXN0004210,28-12-2022,ITM0322,OUT041,CUS01336,14,1594.38,2.0
TXN0007122,27-07-2019,ITM0038,OUT003,CUS00084,15,2956.80,3.8
TXN0005827,18-06-2018,ITM0208,OUT025,CUS01634,12,,2.6
TXN0006187,29-05-2019,ITM0361,OUT006,CUS00390,11,1576.62,4.1
TXN0008848,18-08-2018,ITM0087,OUT041,CUS00836,15,1235.85,3.9
TXN0007072,24-02-2021,ITM0037,OUT034,CUS00571,15,785.35,4.7
TXN0004549,30-07-2021,ITM0093,OUT042,CUS00436,3,3399.40,
TXN0002515,08-12-2021,ITM0430,OUT026,CUS00322,3,2232.70,3.1
TXN0009387,10-08-2019,ITM0225,OUT020,CUS00033,13,3394.66,4.4
TXN0007157,30-07-2022,ITM0049,OUT010,CUS00051,10,3167.46,
TXN0002243,04-01-2021,ITM0456,OUT007,CUS00829,12,1125.73,3.7
TXN0002802,08-06-2019,ITM0205,OUT045,CUS00423,15,3275.23,4.4
TXN0009588,11-09-2023,ITM0148,OUT016,CUS00291,7,347.02,3.4
TXN0000752,12-03-2019,ITM0120,OUT037,CUS01226,9,4096.31,4.2
TXN0008560,,ITM0123,OUT047,CUS01573,16,1279.12,4.1
TXN0006410,07-10-2018,ITM0302,OUT003,CUS01988,1,3401.10,2.2
TXN0002313,24-12-2021,ITM0097,OUT038,CUS00056,2,,2.0
TXN0008111,22-09-2022,ITM0268,OUT044,CUS01710,,461.66,5.0
TXN0003745,23-06-2023,ITM0220,OUT014,CUS00926,20,753.33,4.1
TXN0009429,01-05-2023,ITM0481,OUT006,CUS01833,16,3716.76,1.3
TXN0009418,29-03-2018,ITM0430,OUT015,CUS01527,19,2601.37,3.8
TXN0000500,28-07-2019,ITM0289,OUT048,CUS00902,15,1667.30,4.4
TXN0007253,16-02-2022,ITM0466,OUT011,CUS00721,11,473.58,1.2
TXN0007222,16-10-2021,ITM0384,OUT008,CUS01847,10,724.35,3.4
TXN0008085,09-12-2023,ITM0164,OUT045,CUS00064,11,3036.67,2.9
TXN0005453,17-03-2020,ITM0446,OUT012,CUS01589,7,4180.54,2.4
TXN0000311,28-07-2018,ITM0169,OUT024,CUS01887,1,3611.58,4.4
TXN0009302,23-11-2019,ITM0082,OUT019,CUS00633,1,966.79,2.4
TXN0008069,24-01-2023,ITM0151,OUT029,CUS00356,3,3351.31,3.3
TXN0005069,03-02-2020,ITM0150,OUT013,CUS00293,1,1929.16,4.7
TXN0003938,06-09-2018,ITM0138,OUT001,CUS00290,13,3561.10,1.6
TXN0006011,21-09-2023,ITM0105,OUT046,CUS00090,4,2434.15,1.3
TXN0001520,02-08-2020,ITM0252,OUT043,CUS01938,15,2887.88,4.0
TXN0010420,14-04-2021,ITM0279,OUT016,CUS01550,7,2079.50,4.0
TXN0003705,21-06-2022,ITM0177,OUT007,CUS01282,18,312.10,2.3
TXN0009843,10-06-2020,ITM0399,OUT040,CUS00895,3,2194.52,4.8
TXN0003504,,ITM0467,OUT033,CUS01213,15,1973.37,1.1
TXN0007882,09-08-2023,ITM0030,OUT045,CUS01420,11,1585.60,3.1
TXN0006581,07-06-2019,ITM0321,OUT038,CUS00887,3,2427.57,4.4
TXN0000900,16-01-2020,ITM0401,OUT036,CUS00976,2,4611.62,1.3
TXN0003193,,ITM0178,OUT001,CUS00690,19,1952.89,4.3
TXN0010065,19-05-2020,ITM0217,OUT027,CUS01548,16,1999.23,3.2
TXN0003593,19-05-2022,ITM0269,OUT006,CUS00527,20,2017.86,3.2
